UNID_CARTO	CANA_AZUCA	BANANO	AGRICOLA	INGENIERIA
282	2 Mod_apta	2 Mod_apta	1 Alto	2 Limit_moderada
283	2 Mod_apta	2 Mod_apta	1 Alto	2 Limit_moderada
284	3 Marginal	3 Marginal	3 Bajo	3 Limit_fuerte
285	3 Marginal	3 Marginal	3 Bajo	4 Limit_muy fuerte
286	2 Mod_apta	2 Mod_apta	2 Moderado	2 Limit_moderada
287	3 Marginal	3 Marginal	3 Bajo	3 Limit_fuerte
288	2 Mod_apta	2 Mod_apta	2 Moderado	2 Limit_moderada
289	2 Mod_apta	2 Mod_apta	2 Moderado	2 Limit_moderada
290	3 Marginal	3 Marginal	4 Muy bajo	1 Limit_ligera
292	4 No apta	4 No apta	3 Bajo	4 Limit_muy fuerte
293	4 No apta	4 No apta	3 Bajo	4 Limit_muy fuerte
294	2 Mod_apta	2 Mod_apta	1 Alto	3 Limit_fuerte
295	3 Marginal	3 Marginal	3 Bajo	4 Limit_muy fuerte
296	2 Mod_apta	2 Mod_apta	2 Moderado	2 Limit_moderada
297	2 Mod_apta	2 Mod_apta	2 Moderado	2 Limit_moderada
298	2 Mod_apta	2 Mod_apta	1 Alto	2 Limit_moderada
299	2 Mod_apta	2 Mod_apta	1 Alto	2 Limit_moderada
300	2 Mod_apta	2 Mod_apta	1 Alto	2 Limit_moderada
302	2 Mod_apta	2 Mod_apta	2 Moderado	2 Limit_moderada
